number,category,title,filename,url,test_value
1,AI-RAG,Attention Is All You Need,01_attention_is_all_you_need.pdf,https://arxiv.org/pdf/1706.03762.pdf,Foundational transformer paper with equations and figures
2,AI-RAG,BERT Pre-training of Deep Bidirectional Transformers,02_bert.pdf,https://arxiv.org/pdf/1810.04805.pdf,Technical paper with tables and benchmark results
3,AI-RAG,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,03_rag_original.pdf,https://arxiv.org/pdf/2005.11401.pdf,Core RAG paper and cross-document RAG terminology
4,AI-RAG,Dense Passage Retrieval for Open-Domain Question Answering,04_dpr.pdf,https://arxiv.org/pdf/2004.04906.pdf,Dense retrieval terminology and evaluation tables
5,AI-RAG,REALM Retrieval-Augmented Language Model Pre-Training,05_realm.pdf,https://arxiv.org/pdf/2002.08909.pdf,Retriever-generator architecture comparison
6,AI-RAG,ColBERT Efficient and Effective Passage Search,06_colbert.pdf,https://arxiv.org/pdf/2004.12832.pdf,Late-interaction retrieval and technical figures
7,AI-RAG,Sentence-BERT Sentence Embeddings using Siamese BERT-Networks,07_sentence_bert.pdf,https://arxiv.org/pdf/1908.10084.pdf,Embedding and semantic similarity content
8,AI-RAG,Text Embeddings by Weakly-Supervised Contrastive Pre-training E5,08_e5_embeddings.pdf,https://arxiv.org/pdf/2212.03533.pdf,Embedding benchmark tables and retrieval terminology
9,AI-RAG,Precise Zero-Shot Dense Retrieval without Relevance Labels HyDE,09_hyde.pdf,https://arxiv.org/pdf/2212.10496.pdf,Zero-shot retrieval and generated-document concepts
10,AI-RAG,Atlas Few-shot Learning with Retrieval Augmented Language Models,10_atlas.pdf,https://arxiv.org/pdf/2208.03299.pdf,RAG training and retrieval architecture
11,AI-RAG,Self-RAG Learning to Retrieve Generate and Critique through Self-Reflection,11_self_rag.pdf,https://arxiv.org/pdf/2310.11511.pdf,Advanced adaptive RAG and reflection tokens
12,AI-RAG,RAGAS Automated Evaluation of Retrieval Augmented Generation,12_ragas.pdf,https://arxiv.org/pdf/2309.15217.pdf,RAG evaluation metrics and quality testing
13,AI-RAG,RAGTruth A Hallucination Corpus for Trustworthy RAG,13_ragtruth.pdf,https://arxiv.org/pdf/2401.00396.pdf,Hallucination and groundedness evaluation
14,AI-RAG,Retrieval-Augmented Generation for AI-Generated Content A Survey,14_rag_survey.pdf,https://arxiv.org/pdf/2402.19473.pdf,Long survey useful for chunking and cross-reference tests
15,AI-RAG,Improving Text Embeddings with Large Language Models,15_improving_text_embeddings.pdf,https://arxiv.org/pdf/2401.00368.pdf,Embedding experiments and multilingual retrieval
16,AI-RAG,Developing RAG-based LLM Systems from PDFs An Experience Report,16_rag_from_pdfs.pdf,https://arxiv.org/pdf/2410.15944.pdf,Directly relevant PDF ingestion and RAG engineering
17,AI-RAG,From PDF to RAG-Ready Evaluating Document Conversion Frameworks,17_pdf_to_rag_ready.pdf,https://arxiv.org/pdf/2604.04948.pdf,Modern PDF parsing and conversion comparison
18,AI-RAG,Llama 2 Open Foundation and Fine-Tuned Chat Models,18_llama2.pdf,https://arxiv.org/pdf/2307.09288.pdf,Long model paper with tables and safety sections
19,AI-RAG,FlashAttention Fast and Memory-Efficient Exact Attention,19_flashattention.pdf,https://arxiv.org/pdf/2205.14135.pdf,GPU and inference engineering terminology
20,AI-RAG,Efficient Memory Management for LLM Serving with PagedAttention,20_vllm_pagedattention.pdf,https://arxiv.org/pdf/2309.06180.pdf,vLLM serving GPU KV-cache and throughput concepts
21,Security-Standards,NIST SP 800-207 Zero Trust Architecture,21_nist_zero_trust.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf,Security standard with exact control terminology
22,Security-Standards,NIST SP 800-190 Application Container Security Guide,22_nist_container_security.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-190.pdf,Container and orchestrator security
23,Security-Standards,NIST SP 800-53 Rev 5 Security and Privacy Controls,23_nist_800_53r5.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,Very long 492-page structured control catalog
24,Security-Standards,NIST SP 800-61 Rev 3 Incident Response Recommendations,24_nist_incident_response.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r3.pdf,Incident response terminology and structured guidance
25,Security-Standards,NIST SP 800-218 Secure Software Development Framework,25_nist_ssdf.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf,DevSecOps and secure SDLC exact identifiers
26,Security-Standards,NIST SP 800-160 Vol 1 Rev 1 Engineering Trustworthy Secure Systems,26_nist_secure_systems_engineering.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-160v1r1.pdf,Long engineering standard with references and diagrams
27,Security-Standards,NIST SP 800-171 Rev 3 Protecting CUI,27_nist_800_171r3.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf,Requirements and control identifiers ideal for hybrid retrieval
28,Security-Standards,NIST SP 800-204C DevSecOps for Microservices with Service Mesh,28_nist_devsecops_microservices.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204C.pdf,Microservices service mesh and DevSecOps terminology
29,Security-Standards,NIST SP 800-70 Rev 5 National Checklist Program,29_nist_checklist_program.pdf,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-70r5.pdf,Checklist-heavy structured content
30,Security-Standards,NIST Cybersecurity Framework 2.0,30_nist_csf_2.pdf,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,Framework functions categories and tables
31,Networking-RFC,RFC 9110 HTTP Semantics,31_rfc9110_http_semantics.pdf,https://www.rfc-editor.org/rfc/rfc9110.pdf,194-page standards document with exact HTTP terminology
32,Networking-RFC,RFC 9111 HTTP Caching,32_rfc9111_http_caching.pdf,https://www.rfc-editor.org/rfc/rfc9111.pdf,Closely related document for semantic disambiguation
33,Networking-RFC,RFC 9112 HTTP 1.1,33_rfc9112_http11.pdf,https://www.rfc-editor.org/rfc/rfc9112.pdf,Protocol details and exact header syntax
34,Networking-RFC,RFC 9113 HTTP 2,34_rfc9113_http2.pdf,https://www.rfc-editor.org/rfc/rfc9113.pdf,Overlapping HTTP concepts useful for reranking tests
35,Networking-RFC,RFC 9114 HTTP 3,35_rfc9114_http3.pdf,https://www.rfc-editor.org/rfc/rfc9114.pdf,HTTP over QUIC cross-document references
36,Networking-RFC,RFC 9000 QUIC Transport Protocol,36_rfc9000_quic.pdf,https://www.rfc-editor.org/rfc/rfc9000.pdf,Long networking standard with protocol state and terminology
37,Networking-RFC,RFC 9001 Using TLS to Secure QUIC,37_rfc9001_quic_tls.pdf,https://www.rfc-editor.org/rfc/rfc9001.pdf,Cross-reference-heavy networking security document
